sheet,column,説明,例
(全体),,rtfreporter の表の定義ファイル（table spec）（spec_version 1）。rtf_plan(data; spec = read_table_spec(path; output_id = )) で読む。名前が _ で始まるシートは読まれない（このシート）。,
(全体),output_id,tables / variables / cells の先頭列。空欄 = 試験全体のデフォルト。帳票名を書いた行は、同じキーのデフォルト行を置き換える。,DM
(全体),note,どのシートにも置けるメモ列。読まれない。上記以外の未知の列はエラー（見出しの打ち間違い防止）。,
(全体),（リスト）,1 セルに複数書くときは | で区切る。,TR01AG1 | SEROSTAT
study,,試験で 1 つに決まる事実。key / value の 2 列、1 行 = 1 項目。output_id は無い（帳票ごとに変えられない）。,
study,rounding,丸め方。r（偶数丸め）/ sas（四捨五入）。試験内のすべての帳票に効く。空欄 = options(rtfreporter.rounding)。,sas
tables,,1 行 = 1 帳票。役割と表全体のオプション。コードで同じ引数を書けばそちらが勝つ。,
tables,cols,横に展開するキー。外側から順に。,TR01AG1 | SEROSTAT
tables,rows,縦のキー。name = 列名 で列名を付け替え。引用符で囲んだ値は固定の見出し。,"group1 = AEBODSYS | grp = ""Worst Post-Baseline Values"""
tables,label,行ラベルの元。空欄 = .label。NA = 行の区別にだけ使って列は出さない。NULL = 使わない。,label = AEDECOD
tables,stats,cells（テンプレートでセルを作る）/ rows（統計量ごとに 1 行、生の値）。,rows
tables,value,stats = rows のときの値。stat（数値）/ stat_fmt（cards 整形済み文字列）。,stat
tables,sep,cols が複数のとき列名をつなぐ文字。既定は ____。,_
tables,sort,TRUE / FALSE / 並べ替えキーの列挙。,.overall | group1 | .depth | -n | label
tables,sort_stat,列方向に合計して .sort_stat 列にする統計量名。,n
tables,na,どのテンプレートも埋められなかったセルの値。,-
tables,header_n,ページ（検査項目など）で分けた表のヘッダー {n} がどの母集団か。page = そのページの母集団（その検査を受けた人）/ table = 解析対象集団（ページキーを持たない ARD 行）。両方なら n = page | N = table で {n} と {N}。空欄 = page（両方あって食い違えば警告）。どちらも ARD に入れておくこと。,n = page | N = table
variables,,1 行 = 1 変数。解析変数だけでなく列キーやラベル列の名前も書ける。,
variables,variable,変数名（解析変数・列キー・ラベル列名）。,AGEGR1
variables,label,変数名の代わりに表示する文字。,Age (years)
variables,order,変数の出現順（数値）。,1
variables,levels,値の並び順。,Grade 0 | Grade 1 | Total
cells,,1 行 = セルの 1 行分のテンプレート。同じ variable / context / row の行は上から順に試す連鎖になる。,
cells,variable,対象。変数名、または continuous / categorical、空欄 = すべてのデフォルト。,continuous
cells,context,ARD の context で絞るとき（同じ変数を 2 通りに集計した場合など）。,summary
cells,row,行ラベル。空欄 = 水準ごとに 1 行（ラベルは水準名）。,Mean (SD)
cells,when,条件（R の式）。成り立つときだけこの行を使う。空欄 = 無条件。,n == 0
cells,template,セルの書き方。{統計量:書式} を埋め込む。,{mean} ({sd})
cells,digits,書式のないトークンの小数桁。カンマ区切りでトークンごと。,"2,3"
cells,signif,有効桁（digits より優先）。,4
cells,（template 空欄の行）,stats = rows の帳票だけ：統計量ごとの表示桁。row = 統計量名（ラベル列の値）、digits / signif を書く（fmt_numeric と同じ）。variable / context は空欄。,row = Mean / signif = 4
(全体),（読み方）,ここまでの 4 シートで table data.frame、以下の 4 シート（layout / columns / style / col_header）で列ヘッダー付きの rtftable のページまで。rtf_plan(data; spec = read_table_spec(path; output_id = )) で読む。後に書いた plan_*() が勝つ。,
layout,,1 行 = 1 帳票。ページ・グループ・空行・スタブ。列名の接頭辞が対応する plan_*() を表す。,
layout,pages_max_rows / pages_split / pages_by / pages_min_group_rows / pages_cont_label,plan_paginate_rows() の max_rows / split / by / min_group_rows / cont_label。先頭・末尾の空白を残すときは引用符で囲む。,"26 / group_force / "" (Cont.)"""
layout,group_col / group_mode / group_collapse,plan_row_group() の col / mode / collapse。collapse は TRUE か列（名前・位置）の | 区切り。,value / 1 | 2
layout,group_page / group_show,group_page = TRUE で group_col の値ごとに改ページ（plan_paginate_group）。group_show = FALSE でその列を表示しない。,TRUE / FALSE
layout,blank_where / blank_first / blank_last / blank_counted,plan_blanks() の where / first / last / counted。,between_groups / TRUE
